gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,tenure_group,LifetimeCharges,Churn
1,0,0,0,0.8732394366197184,1,1,1,1,1,1,1,0,1,0.6100000000000001,0.5588506808216016,1,0,0,0,0,1,0,1,0,0,0-12,0.5326760563380283,0
1,0,1,0,0.16901408450704225,1,1,1,1,0,1,1,0,1,0.5800000000000001,0.1111239326102008,1,0,0,1,0,0,0,0,1,0,0-12,0.09802816901408452,0
1,0,0,0,0.676056338028169,1,1,0,0,0,0,0,1,1,0.6599999999999999,0.4486498961458574,0,1,0,1,0,0,0,0,1,0,0-12,0.44619718309859147,0
0,0,0,0,0.014084507042253521,1,0,0,1,0,0,0,0,0,0.31,0.009116085852757905,1,0,0,1,0,0,0,0,0,1,0-12,0.0043661971830985915,0
1,0,0,0,0.014084507042253521,1,0,0,0,0,0,1,0,1,0.6200000000000001,0.014539579967689823,0,1,0,1,0,0,0,0,1,0,0-12,0.008732394366197185,1
0,0,0,0,0.7183098591549296,1,1,1,0,0,1,1,1,1,0.6100000000000001,0.4845372720978537,1,0,0,0,0,1,0,1,0,0,0-12,0.43816901408450715,0
1,0,1,1,0.9577464788732395,1,1,1,0,1,1,0,0,1,0.46,0.488806831294715,1,0,0,0,0,1,0,1,0,0,0-12,0.4405633802816902,0
1,1,0,0,0.5915492957746479,1,1,0,1,0,0,1,0,1,0.72,0.44080313870297716,0,1,0,1,0,0,0,0,1,0,0-12,0.42591549295774644,0
1,0,0,0,0.19718309859154928,1,0,1,1,0,0,1,1,1,0.81,0.1624740364643434,0,1,0,1,0,0,0,1,0,0,0-12,0.15971830985915492,1
1,1,1,0,0.33802816901408456,1,1,1,0,0,1,1,0,1,0.51,0.20009231479344566,1,0,0,1,0,0,0,1,0,0,0-12,0.17239436619718312,0
1,1,1,0,0.09859154929577466,1,1,0,1,0,0,0,0,1,0.6200000000000001,0.07096699746134319,0,1,0,1,0,0,0,1,0,0,0-12,0.061126760563380296,1
1,1,1,1,0.8309859154929577,1,0,1,1,1,1,0,1,1,0.56,0.5121163166397414,1,0,0,0,1,0,0,1,0,0,0-12,0.46535211267605636,0
0,1,0,0,0.23943661971830985,1,1,0,0,0,0,1,1,1,0.77,0.20009231479344566,0,1,0,1,0,0,0,0,1,0,0-12,0.18436619718309857,1
1,0,1,1,0.8732394366197184,1,1,1,0,0,0,1,1,1,0.81,0.7261712439418416,0,1,0,0,1,0,0,1,0,0,0-12,0.7073239436619719,0
0,1,1,1,0.9154929577464789,1,1,0,1,1,1,1,1,1,0.9000000000000001,0.8144472651742442,0,1,0,0,1,0,0,0,1,0,0-12,0.8239436619718311,0
1,0,1,1,0.46478873239436624,1,1,0,0,0,0,0,0,0,0.06,0.10108469882298639,0,0,1,0,0,1,0,1,0,0,0-12,0.027887323943661974,0
1,0,0,0,1.0,1,1,0,0,1,1,1,1,1,0.8900000000000001,0.9041080083083314,0,1,0,0,0,1,0,1,0,0,0-12,0.8900000000000001,0
1,0,1,0,0.647887323943662,1,1,0,0,1,0,1,1,1,0.8200000000000001,0.5410800830833141,0,1,0,1,0,0,0,0,1,0,0-12,0.5312676056338029,0
0,0,0,0,0.8309859154929577,1,1,0,1,0,0,1,0,1,0.71,0.6268174474959612,0,1,0,1,0,0,1,0,0,0,0-12,0.59,0
0,0,1,0,1.0,0,0,1,1,1,0,0,0,0,0.24,0.3397184398799908,1,0,0,0,0,1,1,0,0,0,0-12,0.24,0
1,0,1,1,0.23943661971830985,1,0,0,0,1,1,0,0,1,0.36000000000000004,0.10835448880683131,1,0,0,0,1,0,0,1,0,0,0-12,0.08619718309859155,0
1,0,0,0,0.11267605633802817,1,1,0,0,0,0,1,1,0,0.76,0.09681513962612509,0,1,0,1,0,0,0,0,1,0,0-12,0.08563380281690142,1
1,0,0,0,0.02816901408450704,1,0,0,1,0,1,1,1,1,0.5700000000000001,0.026078929148396032,1,0,0,1,0,0,0,0,1,0,0-12,0.016056338028169016,0
0,0,1,0,0.647887323943662,1,1,0,1,0,0,0,0,1,0.6000000000000001,0.4191091622432495,0,1,0,0,1,0,0,0,1,0,0-12,0.3887323943661973,0
1,0,0,0,0.4225352112676057,1,0,0,1,1,1,1,1,0,0.6100000000000001,0.28606046618970693,1,0,0,0,0,1,0,0,0,1,0-12,0.2577464788732395,0
1,0,1,1,0.6901408450704226,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.10523886452804063,0,0,1,0,0,1,1,0,0,0,0-12,0.013802816901408464,0
0,0,0,0,0.1267605633802817,1,0,1,0,1,0,0,0,1,0.6100000000000001,0.10027694438033696,0,1,0,1,0,0,0,0,0,1,0-12,0.07732394366197184,0
0,0,0,0,0.0,1,0,0,0,0,1,0,0,0,0.31,0.003577198246018925,1,0,0,1,0,0,0,0,0,1,,0.0,0
1,0,1,1,0.7183098591549296,1,0,0,0,0,0,0,0,1,0.020000000000000018,0.12370182321717058,0,0,1,0,1,0,0,0,1,0,0-12,0.014366197183098605,0
0,1,1,1,0.8873239436619719,1,1,1,0,1,1,1,1,1,0.9300000000000002,0.8171013154858066,0,1,0,0,0,1,1,0,0,0,0-12,0.825211267605634,0
0,0,1,1,0.8591549295774649,1,1,0,0,0,0,0,0,1,0.06,0.1622432494807293,0,0,1,0,0,1,1,0,0,0,0-12,0.05154929577464789,0
1,0,0,1,0.02816901408450704,1,0,1,0,0,1,0,1,1,0.46,0.01834756519732287,1,0,0,1,0,0,1,0,0,0,0-12,0.012957746478873239,0
1,1,0,0,0.7746478873239437,1,1,1,1,1,0,1,1,0,0.9200000000000002,0.706323563351027,0,1,0,0,1,0,0,0,1,0,0-12,0.7126760563380283,0
1,0,0,0,0.6338028169014085,1,0,0,0,0,0,0,1,0,0.37000000000000005,0.30810062312485575,1,0,0,0,1,0,0,1,0,0,0-12,0.23450704225352118,0
1,0,1,1,0.09859154929577466,1,0,1,1,0,0,0,0,0,0.36000000000000004,0.053542580198476804,1,0,0,1,0,0,0,0,0,1,0-12,0.03549295774647888,0
0,1,0,0,0.4084507042253521,1,0,1,1,0,0,1,1,1,0.56,0.24151857835218096,1,0,0,1,0,0,0,0,1,0,0-12,0.22873239436619722,0
1,0,1,1,0.619718309859155,1,1,0,0,0,0,0,0,1,0.07,0.1382414031848604,0,0,1,0,1,0,0,1,0,0,0-12,0.043380281690140854,0
1,0,0,1,0.0,1,0,0,0,0,0,1,0,1,0.6100000000000001,0.007039003000230788,0,1,0,1,0,0,0,0,1,0,,0.0,1
1,0,1,1,0.14084507042253522,0,0,1,0,0,0,1,1,0,0.32,0.06312024001846296,1,0,0,1,0,0,0,0,1,0,0-12,0.04507042253521127,0
1,0,1,0,0.08450704225352114,1,0,0,0,1,0,0,0,1,0.5700000000000001,0.055158089083775674,0,1,0,1,0,0,1,0,0,0,0-12,0.04816901408450706,1
1,0,0,0,0.5774647887323944,1,0,0,1,1,1,1,1,1,0.8500000000000001,0.49723055619663054,0,1,0,1,0,0,1,0,0,0,0-12,0.4908450704225353,0
1,0,1,0,0.676056338028169,1,0,0,0,0,0,0,0,1,0.020000000000000018,0.1102007846757443,0,0,1,0,0,1,1,0,0,0,0-12,0.013521126760563391,0
0,0,0,0,0.11267605633802817,1,1,0,1,0,0,1,1,1,0.81,0.10385414262635588,0,1,0,1,0,0,0,1,0,0,0-12,0.09126760563380283,0
1,0,1,0,0.47887323943661975,1,0,1,0,0,0,1,0,1,0.44,0.25351950150011543,1,0,0,0,1,0,1,0,0,0,0-12,0.2107042253521127,0
1,0,1,1,0.6619718309859155,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.11989383798753751,0,0,1,0,0,1,1,0,0,0,0-12,0.013239436619718322,0
1,0,1,1,0.6338028169014085,1,0,0,0,0,0,0,0,1,0.010000000000000009,0.10489268405261944,0,0,1,0,0,1,0,0,0,1,0-12,0.006338028169014091,0
0,0,1,0,0.3943661971830986,0,0,0,0,0,0,1,0,0,0.15000000000000002,0.11435495038079853,1,0,0,1,0,0,0,0,0,1,0-12,0.0591549295774648,0
0,0,1,1,0.4084507042253521,1,0,0,1,1,0,0,0,0,0.6400000000000001,0.29448419109162244,0,1,0,1,0,0,1,0,0,0,0-12,0.2614084507042254,0
0,1,0,0,0.0,1,0,0,0,0,1,0,0,0,0.56,0.006462035541195477,0,1,0,1,0,0,0,0,1,0,,0.0,0
0,0,1,1,0.9154929577464789,1,1,1,0,1,1,1,1,1,0.6599999999999999,0.6572813293330256,1,0,0,0,0,1,0,0,0,1,0-12,0.604225352112676,0
1,0,0,0,0.9014084507042254,1,1,1,1,1,0,1,1,1,0.9300000000000002,0.8180244634202631,0,1,0,1,0,0,0,1,0,0,0-12,0.8383098591549297,0
0,0,0,0,1.0,1,1,0,1,1,0,1,1,1,0.8200000000000001,0.8586429725363489,0,1,0,0,0,1,1,0,0,0,0-12,0.8200000000000001,0
1,0,0,0,0.15492957746478872,1,1,1,0,0,0,0,0,1,0.6000000000000001,0.10489268405261944,0,1,0,1,0,0,0,0,1,0,0-12,0.09295774647887324,1
0,0,1,1,0.9859154929577465,1,1,1,1,0,1,0,0,1,0.48000000000000004,0.5458112162474036,1,0,0,0,1,0,0,1,0,0,0-12,0.47323943661971835,0
0,0,0,0,0.056338028169014086,1,0,0,0,0,0,0,0,0,0.03,0.010962381721670899,0,0,1,1,0,0,0,0,0,1,0-12,0.0016901408450704224,1
0,0,0,0,0.7183098591549296,1,0,0,0,0,0,0,0,0,0.03,0.12566351257789063,0,0,1,0,0,1,1,0,0,0,0-12,0.021549295774647887,0
1,1,1,0,0.33802816901408456,1,0,0,1,1,0,1,1,1,0.8,0.288022155550427,0,1,0,1,0,0,0,0,1,0,0-12,0.27042253521126763,1
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.00023078698361412436,0,0,1,1,0,0,0,0,0,1,,0.0,0
1,0,1,1,0.0,1,0,0,0,0,0,0,0,0,0.010000000000000009,0.00011539349180706218,0,0,1,1,0,0,0,0,1,0,,0.0,0
0,0,0,0,0.5211267605633804,1,1,0,0,1,1,1,0,0,0.77,0.4139164551119317,0,1,0,0,1,0,1,0,0,0,0-12,0.40126760563380287,0
1,1,1,0,0.9154929577464789,0,0,0,1,1,0,1,0,0,0.27,0.3472190168474498,1,0,0,0,1,0,1,0,0,0,0-12,0.2471830985915493,0
0,0,1,0,0.943661971830986,1,1,0,1,1,1,1,1,1,0.9200000000000002,0.8761827832910224,0,1,0,0,0,1,1,0,0,0,0-12,0.8681690140845073,1
0,0,0,0,0.056338028169014086,0,0,0,0,0,0,0,0,0,0.06,0.009462266328179092,1,0,0,1,0,0,0,0,0,1,0-12,0.003380281690140845,0
1,0,1,1,1.0,1,1,1,1,0,0,1,1,1,0.8600000000000001,0.8406415878144472,0,1,0,0,1,0,0,0,1,0,0-12,0.8600000000000001,0
1,0,0,0,0.4366197183098592,0,0,1,0,0,0,0,0,0,0.12,0.10489268405261944,1,0,0,0,1,0,0,0,0,1,0-12,0.0523943661971831,0
0,0,0,0,0.5915492957746479,1,1,0,0,0,0,1,1,0,0.76,0.4503807985229633,0,1,0,0,1,0,0,0,0,1,0-12,0.4495774647887324,0
0,0,1,1,1.0,1,0,0,0,0,0,0,0,0,0.010000000000000009,0.15520424648049852,0,0,1,0,0,1,0,1,0,0,0-12,0.010000000000000009,0
0,0,1,0,0.7605633802816901,1,1,1,1,0,0,1,0,1,0.78,0.602354027232864,0,1,0,1,0,0,0,0,1,0,0-12,0.5932394366197183,1
1,0,0,0,0.7183098591549296,1,0,1,0,1,1,0,0,0,0.39000000000000007,0.34894991922455576,1,0,0,0,1,0,0,1,0,0,0-12,0.2801408450704226,0
1,0,0,0,0.5915492957746479,1,0,0,1,1,0,1,0,1,0.73,0.45418878375259636,0,1,0,1,0,0,0,0,1,0,0-12,0.43183098591549296,0
1,1,1,0,0.5070422535211268,1,1,0,0,0,0,0,0,1,0.5800000000000001,0.32887145165012693,0,1,0,1,0,0,0,0,1,0,0-12,0.29408450704225353,1
1,0,1,1,0.8873239436619719,0,0,0,1,0,1,1,1,1,0.36000000000000004,0.3929148396030464,1,0,0,0,0,1,0,0,1,0,0-12,0.3194366197183099,0
0,0,1,1,0.02816901408450704,1,0,1,1,0,0,1,0,0,0.71,0.02654050311562428,0,1,0,1,0,0,0,0,1,0,0-12,0.019999999999999997,0
1,0,0,0,0.49295774647887325,0,0,1,0,0,0,0,0,0,0.13,0.1278559889222248,1,0,0,0,0,1,1,0,0,0,0-12,0.06408450704225352,0
1,0,1,1,0.1267605633802817,1,1,1,0,0,0,1,1,1,0.8200000000000001,0.12070159243018695,0,1,0,1,0,0,0,0,1,0,0-12,0.103943661971831,1
1,0,0,0,0.5633802816901409,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.09427648280636973,0,0,1,0,0,1,0,0,0,1,0-12,0.011267605633802828,0
0,0,1,1,0.36619718309859156,1,1,0,1,0,1,0,0,1,0.6699999999999999,0.24613431802446345,0,1,0,1,0,0,0,1,0,0,0-12,0.24535211267605633,0
1,0,1,1,0.7746478873239437,1,1,0,0,1,0,1,1,1,0.81,0.6343180244634202,0,1,0,0,1,0,0,1,0,0,0-12,0.6274647887323944,0
1,0,0,0,0.07042253521126761,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.010846988229863836,0,0,1,1,0,0,0,0,0,1,0-12,0.0014084507042253535,0
0,0,0,0,0.02816901408450704,1,1,0,0,0,0,0,0,1,0.56,0.024348026771290103,0,1,0,1,0,0,0,0,1,0,0-12,0.015774647887323943,1
1,0,1,1,0.08450704225352114,1,0,1,0,0,0,0,0,0,0.32,0.03831063927994461,1,0,0,1,0,0,0,0,0,1,0-12,0.027042253521126765,0
1,0,1,1,0.04225352112676056,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.005077313639510732,0,0,1,1,0,0,0,0,0,1,0-12,0.000845070422535212,0
0,0,0,0,0.4507042253521127,1,0,1,0,0,1,1,0,1,0.7,0.3472190168474498,0,1,0,0,0,1,0,0,1,0,0-12,0.31549295774647884,0
1,1,0,0,0.36619718309859156,1,1,0,0,1,0,0,0,1,0.6000000000000001,0.24428802215555045,0,1,0,1,0,0,0,0,1,0,0-12,0.21971830985915497,1
0,0,1,0,1.0,1,1,0,0,0,0,0,0,1,0.05000000000000002,0.19674590353104085,0,0,1,0,0,1,1,0,0,0,0-12,0.05000000000000002,0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.010000000000000009,0.00011539349180706218,0,0,1,1,0,0,0,0,0,1,,0.0,0
0,1,0,0,0.9859154929577465,0,0,1,1,0,0,1,1,1,0.38000000000000006,0.4577659819986153,1,0,0,0,1,0,0,0,1,0,0-12,0.3746478873239437,0
1,0,0,0,0.16901408450704225,1,1,0,0,0,0,0,1,1,0.6699999999999999,0.13812600969305333,0,1,0,1,0,0,0,0,1,0,0-12,0.11323943661971829,0
1,0,1,1,0.33802816901408456,0,0,1,1,1,0,1,1,1,0.39999999999999997,0.17124394184168015,1,0,0,1,0,0,0,1,0,0,0-12,0.13521126760563382,1
0,0,0,0,0.9295774647887325,1,0,0,0,0,1,0,0,0,0.32,0.3741057004384953,1,0,0,0,0,1,1,0,0,0,0-12,0.2974647887323944,0
0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,0.17000000000000004,0.0019616893607200554,1,0,0,1,0,0,0,0,1,0,,0.0,1
0,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,0,0.26,0.007269789983844912,1,0,0,1,0,0,0,0,1,0,0-12,0.003661971830985916,1
1,0,0,0,0.5915492957746479,1,1,0,0,0,0,0,0,1,0.07,0.13501038541426263,0,0,1,0,0,1,0,1,0,0,0-12,0.04140845070422536,0
1,0,0,0,0.3098591549295775,1,0,1,0,0,0,0,0,1,0.5700000000000001,0.20309254558042927,0,1,0,1,0,0,1,0,0,0,0-12,0.1766197183098592,0
1,0,1,1,0.8873239436619719,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.14528040618509117,0,0,1,0,0,1,0,0,0,1,0-12,0.017746478873239453,0
0,0,0,1,0.7887323943661972,1,0,0,0,0,0,0,0,1,0.010000000000000009,0.13293330256173552,0,0,1,0,0,1,0,0,0,1,0-12,0.00788732394366198,0
1,1,1,0,0.0,1,0,0,0,0,0,0,0,1,0.52,0.006000461573967228,0,1,0,1,0,0,0,0,0,1,,0.0,1
1,1,1,1,1.0,1,1,1,1,1,1,1,1,1,0.7,0.7393261020078468,1,0,0,0,0,1,0,1,0,0,0-12,0.7,0
1,0,0,0,0.09859154929577466,1,1,1,0,0,1,0,1,0,0.53,0.06288945303484884,1,0,0,1,0,0,0,0,1,0,0-12,0.05225352112676057,1
1,0,1,0,0.8450704225352113,1,1,0,1,0,0,1,1,1,0.8300000000000001,0.6869374567274406,0,1,0,0,0,1,1,0,0,0,0-12,0.7014084507042254,0
0,0,0,0,0.8873239436619719,1,1,1,1,0,0,0,0,1,0.6599999999999999,0.6082390953150242,0,1,0,0,1,0,0,1,0,0,0-12,0.5856338028169014,0
0,1,1,0,0.9859154929577465,1,1,0,0,0,0,0,0,0,0.05000000000000002,0.2005538887606739,0,0,1,0,0,1,1,0,0,0,0-12,0.04929577464788734,0
1,0,1,1,0.9014084507042254,1,1,1,1,0,1,1,0,1,0.81,0.7382875605815832,0,1,0,0,0,1,0,1,0,0,0-12,0.7301408450704227,0
0,0,0,0,0.02816901408450704,1,0,0,0,0,0,0,0,0,0.010000000000000009,0.0049619201477036695,0,0,1,0,1,0,0,0,0,1,0-12,0.00028169014084507065,0
0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0.27,0.0031156242787906763,1,0,0,1,0,0,0,0,1,0,,0.0,1
0,0,0,1,0.4084507042253521,1,0,0,1,1,0,1,0,0,0.46,0.22051696284329567,1,0,0,0,1,0,0,1,0,0,0-12,0.18788732394366198,0
0,0,1,1,0.19718309859154928,1,0,0,1,1,1,0,1,1,0.51,0.12150934687283638,1,0,0,1,0,0,0,0,0,1,0-12,0.10056338028169014,0
1,0,1,1,0.09859154929577466,1,0,0,0,0,1,1,1,1,0.5,0.0630048465266559,1,0,0,1,0,0,0,0,1,0,0-12,0.04929577464788733,0
0,0,0,0,0.08450704225352114,1,1,0,0,0,0,1,1,0,0.77,0.07350565428109855,0,1,0,1,0,0,0,0,0,1,0-12,0.06507042253521128,1
1,0,1,1,0.971830985915493,1,1,1,1,1,0,1,1,1,0.9000000000000001,0.9129933071774752,0,1,0,0,1,0,0,1,0,0,0-12,0.8746478873239438,0
0,0,1,1,0.8591549295774649,1,0,1,1,1,1,1,1,0,0.6799999999999999,0.5996999769213016,1,0,0,0,0,1,0,0,1,0,0-12,0.584225352112676,0
1,0,1,1,0.07042253521126761,1,0,0,0,0,0,0,0,0,0.010000000000000009,0.010962381721670899,0,0,1,1,0,0,0,0,0,1,0-12,0.0007042253521126767,0
1,0,1,1,0.18309859154929578,1,0,0,0,0,0,0,1,1,0.6200000000000001,0.1308562197092084,0,1,0,1,0,0,1,0,0,0,0-12,0.1135211267605634,0
1,0,0,0,0.295774647887324,1,1,0,0,0,0,1,0,1,0.6599999999999999,0.20805446572813294,0,1,0,1,0,0,1,0,0,0,0-12,0.19521126760563381,0
0,0,1,1,0.295774647887324,1,0,0,0,0,0,0,0,0,0.020000000000000018,0.0462727902146319,0,0,1,0,1,0,0,0,0,1,0-12,0.005915492957746485,0
0,0,1,1,0.2112676056338028,1,0,1,0,1,0,1,0,0,0.46,0.11608585275790446,1,0,0,0,0,1,0,0,0,1,0-12,0.0971830985915493,0
0,0,0,0,0.1267605633802817,1,1,0,0,0,0,0,0,0,0.07,0.026886683591045464,0,0,1,0,0,1,1,0,0,0,0-12,0.00887323943661972,0
